oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Chicago, IL","Charlotte, NC","Charlotte, NC","Chicago, IL","Charlotte, NC",Table 1,0,20133,30977,31057,"Chicago, IL",599,1102.5,223.1067416,US,55.4569654,219.5762773,WN,11.06181603,189.282148,246,0
"Indianapolis, IN","Philadelphia, PA","Philadelphia, PA","Indianapolis, IN","Philadelphia, PA",Table 1,0,20133,32337,34100,"Indianapolis, IN",588,473.8043478,210.6825556,US,70.72723102,233.1633182,DL,14.61344345,156.9862951,247,0
"Birmingham, AL","Chicago, IL","Chicago, IL","Birmingham, AL","Chicago, IL",Table 1,0,20133,30599,30977,"Birmingham, AL",584,374.2391304,209.6535899,WN,56.81092071,192.1207158,WN,56.81092071,192.1207158,248,0
"Dallas, TX","El Paso, TX","El Paso, TX","Dallas, TX","El Paso, TX",Table 1,0,20133,30194,30615,"Dallas/Fort Worth, TX",562,611.4130435,205.3091058,WN,64.94222222,206.2932713,AA,34.32888889,203.6265976,249,0
"Atlanta, GA","Washington, DC (Metro Area)","Washington, VA","Atlanta, GA (Metro Area)","Washington, DC (Metro Area)",Table 1,23,20133,30397,30852,"Atlanta, GA (Metro Area)",577,3857.391304,198.5652328,DL,67.00293057,207.7157044,FL,13.19037421,171.381,,
"Wichita, KS","Chicago, IL","Chicago, IL","Wichita, KS","Chicago, IL",Table 1,0,20133,30928,30977,"Wichita, KS",589,244.4565217,197.803277,WN,43.70831481,147.3005595,WN,43.70831481,147.3005595,251,0
"Albuquerque, NM","Dallas/Fort Worth, TX","Dallas, TX","Albuquerque, NM","Dallas, TX",Table 1,0,20133,30140,30194,"Albuquerque, NM",580,597.9347826,195.8245574,WN,63.89747319,197.8255334,AA,34.81185239,191.6293629,252,0
"El Paso, TX","Las Vegas, NV","Las Vegas, NV","El Paso, TX","Las Vegas, NV",Table 1,0,20133,30615,32211,"El Paso, TX",583,309.5652174,195.5468469,WN,84.09410112,193.7956702,WN,84.09410112,193.7956702,253,0
"Charlotte, NC","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Charlotte, NC","New York City, NY (Metro Area)",Table 1,26,20133,31057,31703,"Charlotte, NC",575,3194.565217,186.498887,US,62.68458659,193.419233,DL,10.17693093,162.487041,,
"Tampa, FL","Raleigh/Durham, NC","Raleigh/Durham, NC","Tampa, FL (Metro Area)","Raleigh/Durham, NC",Table 1,0,20133,33195,34492,"Tampa, FL (Metro Area)",587,288.0434783,186.3828113,WN,46.79245283,182.5093468,FL,13.01886793,177.7715652,255,18
"Orlando, FL","New Orleans, LA","New Orleans, LA","Orlando, FL","New Orleans, LA",Table 1,0,20133,31454,33495,"Orlando, FL",551,411.6304348,183.143174,WN,74.38605757,183.2152432,AA,3.77607605,164.8718182,256,0
"Denver, CO","Des Moines, IA","Des Moines, IA","Denver, CO","Des Moines, IA",Table 1,0,20133,30325,31423,"Denver, CO",589,260.6521739,181.8875688,F9,50.7089241,134.2495888,F9,50.7089241,134.2495888,257,0
"Chicago, IL","Greenville/Spartanburg, SC","Greer, SC","Chicago, IL","Greer, SC",Table 1,0,20133,30977,31871,"Chicago, IL",578,263.2608696,180.3022213,WN,57.80346821,163.0907071,WN,57.80346821,163.0907071,258,0
"Denver, CO","Midland/Odessa, TX","Midland/Odessa, TX","Denver, CO","Midland/Odessa, TX",Table 1,0,20133,30325,33158,"Denver, CO",563,170.7608696,178.9304265,UA,94.20751114,176.2915743,UA,94.20751114,176.2915743,259,0
"Dallas, TX","Omaha, NE","Omaha, NE","Dallas, TX","Omaha, NE",Table 1,0,20133,30194,33316,"Dallas/Fort Worth, TX",585,425.5434783,171.8149247,AA,86.71775224,169.0580825,AA,86.71775224,169.0580825,260,0
"Nashville, TN","Norfolk, VA (Metro Area)","Norfolk, VA","Nashville, TN","Norfolk, VA (Metro Area)",Table 1,20,20133,30693,33667,"Nashville, TN",585,191.3043478,170.7005511,WN,56.98863636,164.7660319,DL,22.67045455,161.8985965,261,0
"Santa Ana, CA","Salt Lake City, UT","Salt Lake City, UT","Los Angeles, CA (Metro Area)","Salt Lake City, UT",Table 1,0,20133,32575,34614,"Los Angeles, CA (Metro Area)",590,2657.282609,168.0200544,DL,51.05738946,178.6274219,B6,17.13911727,133.3074821,2,
"Atlanta, GA","Miami, FL (Metro Area)","Miami, FL","Atlanta, GA (Metro Area)","Miami, FL (Metro Area)",Table 1,18,20133,30397,32467,"Atlanta, GA (Metro Area)",594,2552.391304,162.6912614,DL,55.41691508,182.2417775,NK,19.52133549,91.66348822,263,20
"Seattle, WA","Reno, NV","Reno, NV","Seattle, WA","Reno, NV",Table 1,0,20133,30559,34570,"Seattle, WA",564,507.5,154.1271771,AS,50.37481259,159.3258716,WN,47.80466909,146.2482393,264,0
"San Jose, CA","Portland, OR","Portland, OR","San Francisco, CA (Metro Area)","Portland, OR",Table 1,0,20133,32457,34057,"San Francisco, CA (Metro Area)",569,3381.304348,147.9456902,AS,38.67815353,144.9288805,AS,38.67815353,144.9288805,265,26
"Newburgh/Poughkeepsie, NY","Cincinnati, OH","Cincinnati, KY","New York City, NY (Metro Area)","Cincinnati, KY",Table 1,0,20133,31703,33105,"New York City, NY (Metro Area)",626,774.5652174,342.8713374,DL,51.52960988,381.7471623,US,22.7196183,236.4603,,
"Huntsville, AL","Washington, DC (Metro Area)","Washington, VA","Huntsville, AL","Washington, DC (Metro Area)",Table 1,23,20133,30255,30852,"Huntsville, AL",641,303.6956522,342.2580888,US,67.75232641,327.9077443,US,67.75232641,327.9077443,267,0
"Chicago, IL","Richmond, VA","Richmond, VA","Chicago, IL","Richmond, VA",Table 1,0,20133,30977,34524,"Chicago, IL",642,302.2826087,317.1302733,UA,35.41891406,356.8367513,US,26.3214671,272.6147814,268,0
"Detroit, MI","Kansas City, MO","Kansas City, MO","Detroit, MI","Kansas City, MO",Table 1,0,20133,31295,33198,"Detroit, MI",629,333.0434783,315.2942167,DL,57.99608355,357.9415194,WN,28.88381201,256.7111977,269,0
"Columbus, OH","Minneapolis/St. Paul, MN","Minneapolis, MN","Columbus, OH","Minneapolis, MN",Table 1,0,20133,31066,31650,"Columbus, OH",626,289.0217391,297.4600188,DL,70.3647988,312.3882576,WN,15.23128996,277.6571111,270,0
"Providence, RI","Detroit, MI","Detroit, MI","Boston, MA (Metro Area)","Detroit, MI",Table 1,0,20133,30721,31295,"Boston, MA (Metro Area)",632,944.7826087,296.8500759,DL,68.94845835,324.2083631,US,20.24850437,233.2968523,271,19
"Atlanta, GA","Grand Rapids, MI","Grand Rapids, MI","Atlanta, GA (Metro Area)","Grand Rapids, MI",Table 1,0,20133,30397,31986,"Atlanta, GA (Metro Area)",640,178.2608696,292.2649085,DL,87.56097561,295.6043454,WN,2.804878049,251.6521739,272,20
"Chicago, IL","Syracuse, NY","Syracuse, NY","Chicago, IL","Syracuse, NY",Table 1,0,20133,30977,35096,"Chicago, IL",607,199.8913044,274.1752637,AA,39.74986406,274.5565253,US,21.53344209,242.2530303,273,0
"Providence, RI","Columbus, OH","Columbus, OH","Boston, MA (Metro Area)","Columbus, OH",Table 1,0,20133,30721,31066,"Boston, MA (Metro Area)",640,452.7173913,272.191419,DL,40.79231693,311.2919718,WN,22.64105642,232.8922057,274,19
"Dallas, TX","Des Moines, IA","Des Moines, IA","Dallas, TX","Des Moines, IA",Table 1,0,20133,30194,31423,"Dallas/Fort Worth, TX",624,173.0434783,238.6109422,AA,88.94472362,240.6411723,F9,1.6959799,185.5555556,275,0
"New York, NY","Greenville/Spartanburg, SC","Greer, SC","New York City, NY (Metro Area)","Greer, SC",Table 1,0,20133,31703,31871,"New York City, NY (Metro Area)",643,289.673913,236.5097261,US,31.70731707,215.8993254,US,31.70731707,215.8993254,276,26
"Charlotte, NC","Miami, FL (Metro Area)","Miami, FL","Charlotte, NC","Miami, FL (Metro Area)",Table 1,18,20133,31057,32467,"Charlotte, NC",650,635.6521739,235.6092664,US,58.92612859,257.4455775,DL,23.11901505,165.8128402,277,0
"Hartford, CT","Charlotte, NC","Charlotte, NC","Hartford, CT","Charlotte, NC",Table 1,0,20133,30529,31057,"Hartford, CT",644,360.4347826,231.0280639,US,68.09408926,247.1041054,DL,12.87696019,169.6084778,278,0
"Asheville, NC","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Asheville, NC","New York City, NY (Metro Area)",Table 1,26,20133,30431,31703,"Asheville, NC",633,200.5434783,225.7088239,US,39.40379404,232.5452407,UA,26.82926829,213.78703,,
"Dallas/Fort Worth, TX","Valparaiso, FL","Valparaiso, FL","Dallas/Fort Worth, TX","Valparaiso, FL",Table 1,0,20133,30194,31504,"Dallas/Fort Worth, TX",641,215,224.7022295,AA,89.43377149,223.339446,DL,4.701718908,204.2103226,280,0
"Albany, NY","Charlotte, NC","Charlotte, NC","Albany, NY","Charlotte, NC",Table 1,0,20133,30257,31057,"Albany, NY",646,172.826087,217.3113522,US,71.3836478,234.6146079,DL,10,172.3906289,281,0
"Nashville, TN","Tampa, FL (Metro Area)","Tampa, FL","Nashville, TN","Tampa, FL (Metro Area)",Table 1,18,20133,30693,33195,"Nashville, TN",612,397.6086957,216.9166129,WN,79.85237835,221.1408388,DL,11.72772007,189.6377389,282,0
"Atlanta, GA","Chicago, IL","Chicago, IL","Atlanta, GA (Metro Area)","Chicago, IL",Table 1,0,20133,30397,30977,"Atlanta, GA (Metro Area)",606,2708.804348,213.1153224,DL,53.14393483,212.2389648,FL,10.1480679,177.8110913,283,20
"Nashville, TN","Orlando, FL","Orlando, FL","Nashville, TN","Orlando, FL",Table 1,0,20133,30693,31454,"Nashville, TN",616,475,212.4820023,WN,78.76430206,215.2011389,DL,11.12128147,197.6058848,284,0
"Washington, VA","Chicago, IL","Chicago, IL","Washington, DC (Metro Area)","Chicago, IL",Table 1,0,20133,30852,30977,"Washington, DC (Metro Area)",622,4859.130435,211.1787554,UA,45.40756979,221.3255599,AA,21.523801,195.8478799,285,23
"Columbia, SC","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Columbia, SC","New York City, NY (Metro Area)",Table 1,26,20133,30868,31703,"Columbia, SC",647,212.6086957,210.1073722,US,50.25562372,204.1231841,UA,12.83231084,180.7901992,2,
"Atlanta, GA","Flint, MI","Flint, MI","Atlanta, GA (Metro Area)","Flint, MI",Table 1,0,20133,30397,31721,"Atlanta, GA (Metro Area)",645,202.826087,208.7300482,DL,75.56270097,222.555305,FL,6.323687031,156.6933898,287,20
"San Diego, CA","Salt Lake City, UT","Salt Lake City, UT","San Diego, CA","Salt Lake City, UT",Table 1,0,20133,33570,34614,"San Diego, CA",626,611.3043478,205.1103823,DL,67.65647226,212.4957976,WN,23.07965861,187.408775,288,0
"St. Louis, MO","New Orleans, LA","New Orleans, LA","St. Louis, MO","New Orleans, LA",Table 1,0,20133,31123,33495,"St. Louis, MO",604,233.5869565,204.8215868,WN,80.8748255,205.4094879,UA,3.210795719,197.8963768,289,0
"Denver, CO","Boise, ID","Boise, ID","Denver, CO","Boise, ID",Table 1,0,20133,30325,30713,"Denver, CO",649,324.7826087,204.4936613,UA,55.18741633,207.1485567,WN,36.98125837,195.0562353,290,0
"Bangor, ME","Washington, DC (Metro Area)","Washington, VA","Bangor, ME","Washington, DC (Metro Area)",Table 1,23,20133,30581,30852,"Bangor, ME",601,171.8478261,199.8233333,US,91.65085389,199.9215873,DL,6.641366224,198.3931429,291,0
"Colorado Springs, CO","Dallas/Fort Worth, TX","Dallas/Fort Worth, TX","Colorado Springs, CO","Dallas/Fort Worth, TX",Table 1,0,20133,30189,30194,"Colorado Springs, CO",602,224.7826087,197.3020551,AA,96.22823985,196.3840402,AA,96.22823985,196.3840402,29,
"Chicago, IL","Raleigh/Durham, NC","Raleigh/Durham, NC","Chicago, IL","Raleigh/Durham, NC",Table 1,0,20133,30977,34492,"Chicago, IL",646,1137.5,197.1090282,AA,34.830387,197.2463018,WN,34.33349259,176.1569802,293,0
"Dallas, TX","Nashville, TN","Nashville, TN","Dallas, TX","Nashville, TN",Table 1,0,20133,30194,30693,"Dallas/Fort Worth, TX",631,786.8478261,196.8421854,AA,72.27517613,195.0278574,AA,72.27517613,195.0278574,294,0
"Albuquerque, NM","San Diego, CA","San Diego, CA","Albuquerque, NM","San Diego, CA",Table 1,0,20133,30140,33570,"Albuquerque, NM",628,316.8478261,194.193554,WN,87.54716981,193.8217751,F9,1.063464837,149.0280645,295,0
"Philadelphia, PA","Savannah, GA","Savannah, GA","Philadelphia, PA","Savannah, GA",Table 1,0,20133,34100,34685,"Philadelphia, PA",629,191.7391304,194.0015249,US,58.61678005,203.4259575,DL,39.00226757,178.909564,296,0
"Phoenix, AZ","Sacramento, CA","Sacramento, CA","Phoenix, AZ","Sacramento, CA",Table 1,0,20133,30466,33192,"Phoenix, AZ",647,745.8695652,188.7115141,WN,56.31011367,204.1933722,US,32.61439814,173.094294,297,0
"Portland, OR","Salt Lake City, UT","Salt Lake City, UT","Portland, OR","Salt Lake City, UT",Table 1,0,20133,34057,34614,"Portland, OR",630,679.673913,186.4675388,DL,52.82264513,194.4356161,WN,37.59795298,167.2237856,298,0
"Denver, CO","Fargo, ND","Fargo, ND","Denver, CO","Fargo, ND",Table 1,0,20133,30325,31637,"Denver, CO",627,180.326087,185.7837131,F9,32.48945148,138.9195733,US,15.61181435,128.3177606,299,0
"Seattle, WA","Sacramento, CA","Sacramento, CA","Seattle, WA","Sacramento, CA",Table 1,0,20133,30559,33192,"Seattle, WA",605,1055.652174,181.6122271,AS,51.85337727,179.4500079,AS,51.85337727,179.4500079,300,0
"Austin, TX","Kansas City, MO","Kansas City, MO","Austin, TX","Kansas City, MO",Table 1,0,20133,30423,33198,"Austin, TX",650,225.7608696,180.1417573,WN,51.85363505,195.8297957,AA,38.03562831,156.7316456,301,0
"Phoenix, AZ","Reno, NV","Reno, NV","Phoenix, AZ","Reno, NV",Table 1,0,20133,30466,34570,"Phoenix, AZ",601,458.5869565,172.5568097,WN,53.21166153,190.5922094,US,43.3278028,149.9300985,302,0
"Providence, RI","Raleigh/Durham, NC","Raleigh/Durham, NC","Boston, MA (Metro Area)","Raleigh/Durham, NC",Table 1,0,20133,30721,34492,"Boston, MA (Metro Area)",625,1375.869565,166.5160776,B6,46.23163217,159.512512,B6,46.23163217,159.512512,303,19
"Washington, VA","Milwaukee, WI","Milwaukee, WI","Washington, DC (Metro Area)","Milwaukee, WI",Table 1,0,20133,30852,33342,"Washington, DC (Metro Area)",641,965,166.2468202,FL,49.61703086,155.790311,FL,49.61703086,155.790311,304,23
"Denver, CO","Tucson, AZ","Tucson, AZ","Denver, CO","Tucson, AZ",Table 1,0,20133,30325,30436,"Denver, CO",639,388.8043478,158.8586329,WN,64.94268941,146.459096,WN,64.94268941,146.459096,305,0
"Denver, CO","Phoenix, AZ","Phoenix, AZ","Denver, CO","Phoenix, AZ",Table 1,0,20133,30325,30466,"Denver, CO",602,2442.717391,134.0626788,WN,51.76433943,132.9017657,F9,17.91038135,118.0797565,306,0
"Denver, CO","Las Vegas, NV","Las Vegas, NV","Denver, CO","Las Vegas, NV",Table 1,0,20133,30325,32211,"Denver, CO",628,2312.391304,130.5189405,WN,45.33703112,136.7981763,NK,12.20268873,82.33353236,307,0
"Myrtle Beach, SC","New York City, NY (Metro Area)","Newburgh/Poughkeepsie, NY","Myrtle Beach, SC","New York City, NY (Metro Area)",Table 1,26,20133,31135,31703,"Myrtle Beach, SC",601,815.6521739,127.5251373,NK,69.56289979,98.41227586,NK,69.56289979,9,,
"Myrtle Beach, SC","Detroit, MI","Detroit, MI","Myrtle Beach, SC","Detroit, MI",Table 1,0,20133,31135,31295,"Myrtle Beach, SC",636,322.6086957,116.566469,NK,68.46361186,86.31770669,NK,68.46361186,86.31770669,309,0
"New York, NY","Grand Rapids, MI","Grand Rapids, MI","New York City, NY (Metro Area)","Grand Rapids, MI",Table 1,0,20133,31703,31986,"New York City, NY (Metro Area)",656,296.7391304,294.0652711,DL,54.43223443,271.5228466,DL,54.43223443,271.5228466,31,
"Cleveland, OH","Minneapolis/St. Paul, MN","Minneapolis, MN","Cleveland, OH (Metro Area)","Minneapolis, MN",Table 1,0,20133,30647,31650,"Cleveland, OH (Metro Area)",657,353.9130435,286.7241831,DL,49.75429975,294.0664815,UA,36.24078624,280.991339,311,
"Nashville, TN","Minneapolis/St. Paul, MN","Minneapolis, MN","Nashville, TN","Minneapolis, MN",Table 1,0,20133,30693,31650,"Nashville, TN",695,305.8695652,283.8832445,DL,61.12295665,308.3284012,WN,26.11940299,246.8528844,312,0
"New York, NY","Louisville, KY","Louisville, KY","New York City, NY (Metro Area)","Louisville, KY",Table 1,0,20133,31703,33044,"New York City, NY (Metro Area)",699,453.1521739,270.0943943,DL,32.02206764,298.4274906,US,27.87239146,229.1519794,313,26
"Houston, TX","Kansas City, MO","Kansas City, MO","Houston, TX","Kansas City, MO",Table 1,0,20133,31453,33198,"Houston, TX",666,470.8695652,266.9666967,WN,58.37950139,248.6453618,WN,58.37950139,248.6453618,314,0
"Newburgh/Poughkeepsie, NY","Knoxville, TN","Knoxville, TN","New York City, NY (Metro Area)","Knoxville, TN",Table 1,0,20133,31703,35412,"New York City, NY (Metro Area)",684,209.0217391,265.2515549,US,44.30577223,255.3173122,US,44.30577223,255.3173122,,
"Nashville, TN","Houston, TX","Houston, TX","Nashville, TN","Houston, TX",Table 1,0,20133,30693,31453,"Nashville, TN",670,503.8043478,250.5959525,WN,62.04962244,250.7441655,WN,62.04962244,250.7441655,316,0
"El Paso, TX","Houston, TX","Houston, TX","El Paso, TX","Houston, TX",Table 1,0,20133,30615,31453,"El Paso, TX",677,327.9347826,249.2872953,WN,68.08087504,241.3583739,WN,68.08087504,241.3583739,317,0
"Atlanta, GA","Philadelphia, PA","Philadelphia, PA","Atlanta, GA (Metro Area)","Philadelphia, PA",Table 1,0,20133,30397,34100,"Atlanta, GA (Metro Area)",666,1427.717391,246.3614617,DL,58.48496384,250.5694012,FL,13.27750286,197.7234633,318,20
"St. Louis, MO","Houston, TX","Houston, TX","St. Louis, MO","Houston, TX",Table 1,0,20133,31123,31453,"St. Louis, MO",687,475.4347826,244.4738455,WN,79.19524463,244.299388,UA,14.15180613,242.3770759,319,0
"Chicago, IL","Oklahoma City, OK","Oklahoma City, OK","Chicago, IL","Oklahoma City, OK",Table 1,0,20133,30977,33851,"Chicago, IL",693,327.7173913,243.1004312,WN,43.05140962,212.2018798,WN,43.05140962,212.2018798,320,0
"Atlanta, GA","Houston, TX","Houston, TX","Atlanta, GA (Metro Area)","Houston, TX",Table 1,0,20133,30397,31453,"Atlanta, GA (Metro Area)",696,1301.304348,239.6881014,DL,55.0283996,242.8485975,FL,11.65218844,205.5607455,321,20
"Chicago, IL","Philadelphia, PA","Philadelphia, PA","Chicago, IL","Philadelphia, PA",Table 1,0,20133,30977,34100,"Chicago, IL",678,2365.217391,236.8832647,US,34.64154412,238.2231839,WN,23.86029412,222.221406,322,0
"Atlanta, GA","Kansas City, MO","Kansas City, MO","Atlanta, GA (Metro Area)","Kansas City, MO",Table 1,0,20133,30397,33198,"Atlanta, GA (Metro Area)",692,581.5217391,222.2961514,DL,71.04672897,229.725175,FL,19.25233645,196.4589029,323,20
"Chicago, IL","Jackson/Vicksburg, MS","Jackson/Vicksburg, MS","Chicago, IL","Jackson/Vicksburg, MS",Table 1,0,20133,30977,32448,"Chicago, IL",677,182.0652174,218.0242985,WN,58.44776119,200.7277426,WN,58.44776119,200.7277426,324,0
"Milwaukee, WI","Philadelphia, PA","Philadelphia, PA","Milwaukee, WI","Philadelphia, PA",Table 1,0,20133,33342,34100,"Milwaukee, WI",690,359.2391304,217.1275492,US,63.23751891,240.934177,DL,22.54160363,174.2008188,325,0
"Washington, VA","Jacksonville, FL","Jacksonville, FL","Washington, DC (Metro Area)","Jacksonville, FL",Table 1,0,20133,30852,31136,"Washington, DC (Metro Area)",663,822.5,216.4091608,US,46.25346901,199.5614,US,46.25346901,199.5614,326,23
"Boise, ID","Los Angeles, CA (Metro Area)","Santa Ana, CA","Boise, ID","Los Angeles, CA (Metro Area)",Table 1,24,20133,30713,32575,"Boise, ID",688,456.8478261,214.499981,WN,44.25410421,198.6582742,WN,44.25410421,198.6582742,327,0
"Charlotte, NC","Milwaukee, WI","Milwaukee, WI","Charlotte, NC","Milwaukee, WI",Table 1,0,20133,31057,33342,"Charlotte, NC",651,260.326087,209.0144008,US,44.55114823,258.679925,DL,44.05010438,168.3273934,328,0
"Nashville, TN","Philadelphia, PA","Philadelphia, PA","Nashville, TN","Philadelphia, PA",Table 1,0,20133,30693,34100,"Nashville, TN",675,563.8043478,203.0292423,US,44.41873916,228.2046615,DL,13.39888182,163.7132086,329,0
"St. Louis, MO","Raleigh/Durham, NC","Raleigh/Durham, NC","St. Louis, MO","Raleigh/Durham, NC",Table 1,0,20133,31123,34492,"St. Louis, MO",667,283.6956522,202.4989579,WN,62.60536399,202.8547736,DL,19.61685824,190.1357422,330,0
"Atlanta, GA","Milwaukee, WI","Milwaukee, WI","Atlanta, GA (Metro Area)","Milwaukee, WI",Table 1,0,20133,30397,33342,"Atlanta, GA (Metro Area)",669,610.6521739,199.4292666,DL,70.50551798,203.2818758,FL,24.1011036,185.0768907,331,20
"Charlotte, NC","New Orleans, LA","New Orleans, LA","Charlotte, NC","New Orleans, LA",Table 1,0,20133,31057,33495,"Charlotte, NC",651,246.5217391,197.7763536,US,53.21869489,225.8661226,DL,33.11287478,150.7129694,332,0
"Albuquerque, NM","Los Angeles, CA (Metro Area)","Santa Ana, CA","Albuquerque, NM","Los Angeles, CA (Metro Area)",Table 1,24,20133,30140,32575,"Albuquerque, NM",677,809.673913,194.8502712,WN,67.09625453,195.5561785,AA,11.96133709,179.1809989,333,0
"Fort Lauderdale, FL","New Orleans, LA","New Orleans, LA","Miami, FL (Metro Area)","New Orleans, LA",Table 1,0,20133,32467,33495,"Miami, FL (Metro Area)",675,541.6304348,194.8059502,AA,47.98314269,188.5028231,AA,47.98314269,188.5028231,334,18
"Phoenix, AZ","San Francisco, CA (Metro Area)","San Jose, CA","Phoenix, AZ","San Francisco, CA (Metro Area)",Table 1,26,20133,30466,32457,"Phoenix, AZ",668,2862.934783,194.2377866,WN,54.89957857,200.3431445,US,29.07475607,197.8816754,335,0
"Seattle, WA","Salt Lake City, UT","Salt Lake City, UT","Seattle, WA","Salt Lake City, UT",Table 1,0,20133,30559,34614,"Seattle, WA",689,1055.434783,193.2320381,DL,42.8115345,209.3277676,WN,34.43872297,175.5619229,336,0
"Birmingham, AL","Washington, DC (Metro Area)","Washington, VA","Birmingham, AL","Washington, DC (Metro Area)",Table 1,23,20133,30599,30852,"Birmingham, AL",682,547.3913044,192.0416203,WN,38.84034948,206.0635123,DL,30.97696585,159.571218,337,0
"Denver, CO","Cedar Rapids/Iowa City, IA","Cedar Rapids/Iowa City, IA","Denver, CO","Cedar Rapids/Iowa City, IA",Table 1,0,20133,30325,31003,"Denver, CO",692,167.5,191.9762687,UA,53.14730694,224.4471673,F9,39.45489942,143.1129112,338,0
"Santa Ana, CA","Medford, OR","Medford, OR","Los Angeles, CA (Metro Area)","Medford, OR",Table 1,0,20133,32575,33264,"Los Angeles, CA (Metro Area)",659,238.1521739,182.4712186,AS,61.61570059,187.4117482,G4,16.15700593,111.9096045,339,24
"Orlando, FL","Memphis, TN","Memphis, TN","Orlando, FL","Memphis, TN",Table 1,0,20133,31454,33244,"Orlando, FL",684,339.673913,168.0564096,DL,56.16,182.7319487,FL,38.848,139.7268616,340,0
"Dallas, TX","Denver, CO","Denver, CO","Dallas, TX","Denver, CO",Table 1,0,20133,30194,30325,"Dallas/Fort Worth, TX",651,2389.021739,165.1018049,F9,36.11629283,129.4149395,F9,36.11629283,129.4149395,341,0
"Charleston, SC","New York City, NY (Metro Area)","New York, NY","Charleston, SC","New York City, NY (Metro Area)",Table 1,26,20133,30994,31703,"Charleston, SC",677,1093.369565,163.9383905,DL,38.35371309,162.4962934,B6,26.13579879,144.3186193,342,0
"Seattle, WA","San Francisco, CA (Metro Area)","San Jose, CA","Seattle, WA","San Francisco, CA (Metro Area)",Table 1,26,20133,30559,32457,"Seattle, WA",697,5935.217391,162.9502326,AS,45.16518936,163.3257785,VX,15.41279027,153.6507914,343,0
"Orlando, FL","Norfolk, VA (Metro Area)","Norfolk, VA","Orlando, FL","Norfolk, VA (Metro Area)",Table 1,20,20133,31454,33667,"Orlando, FL",662,387.7173913,159.4141968,WN,71.26436782,152.4783792,WN,71.26436782,152.4783792,344,0
"Kansas City, MO","New Orleans, LA","New Orleans, LA","Kansas City, MO","New Orleans, LA",Table 1,0,20133,33198,33495,"Kansas City, MO",689,242.0652174,158.7645038,WN,68.16344859,160.031693,DL,15.71621015,153.7808286,345,0
"Fort Lauderdale, FL","Raleigh/Durham, NC","Raleigh/Durham, NC","Miami, FL (Metro Area)","Raleigh/Durham, NC",Table 1,0,20133,32467,34492,"Miami, FL (Metro Area)",700,677.7173913,150.7881043,AA,37.4819567,151.6807574,FL,10.97032879,121.1147368,346,18
"Denver, CO","Minneapolis/St. Paul, MN","Minneapolis, MN","Denver, CO","Minneapolis, MN",Table 1,0,20133,30325,31650,"Denver, CO",680,2154.673913,148.3599748,DL,33.49139888,166.7496024,F9,24.2445644,130.603789,347,0
"Orlando, FL","Richmond, VA","Richmond, VA","Orlando, FL","Richmond, VA",Table 1,0,20133,31454,34524,"Orlando, FL",667,447.5,134.1089556,FL,51.68812242,122.5828196,FL,51.68812242,122.5828196,348,0
"Atlantic City, NJ","Atlanta, GA (Metro Area)","Atlanta, GA","Atlantic City, NJ","Atlanta, GA (Metro Area)",Table 1,20,20133,30158,30397,"Atlantic City, NJ",679,219.2391304,94.48007437,NK,100,94.48007437,NK,100,94.48007437,349,0
"Lexington, KY","Sanford, FL","Sanford, FL","Lexington, KY","Sanford, FL",Table 1,0,20133,32945,34761,"Lexington, KY",667,168.6956522,90.1056701,G4,100,90.1056701,G4,100,90.1056701,350,0
"Pittsburgh, PA","Minneapolis/St. Paul, MN","Minneapolis, MN","Pittsburgh, PA","Minneapolis, MN",Table 1,0,20133,30198,31650,"Pittsburgh, PA",726,295.6521739,280.9878677,DL,59.77941177,326.7761808,WN,16.69117647,193.1163656,351,0
"Islip, NY","Indianapolis, IN","Indianapolis, IN","New York City, NY (Metro Area)","Indianapolis, IN",Table 1,0,20133,31703,32337,"New York City, NY (Metro Area)",701,992.0652174,273.2050323,DL,35.76202476,298.3094608,US,27.23786567,215.7948311,352,2
"Cleveland, OH","Kansas City, MO","Kansas City, MO","Cleveland, OH (Metro Area)","Kansas City, MO",Table 1,0,20133,30647,33198,"Cleveland, OH (Metro Area)",711,192.2826087,270.888225,UA,47.76710006,297.1694793,WN,30.92142453,246.4329433,353,22
"Albany, NY","Chicago, IL","Chicago, IL","Albany, NY","Chicago, IL",Table 1,0,20133,30257,30977,"Albany, NY",723,347.2826087,260.5417402,UA,60.09389671,269.054724,WN,31.58059468,242.12556,354,0
"Austin, TX","St. Louis, MO","St. Louis, MO","Austin, TX","St. Louis, MO",Table 1,0,20133,30423,31123,"Austin, TX",721,203.1521739,250.5942322,WN,64.5799893,251.3627838,AA,27.34082397,232.8905088,355,0
"Dallas, TX","Louisville, KY","Louisville, KY","Dallas, TX","Louisville, KY",Table 1,0,20133,30194,33044,"Dallas/Fort Worth, TX",733,274.673913,244.6991532,AA,78.78907796,243.6588498,WN,10.44717056,239.1762121,356,0
